;accumulated_codon_frequencies;padj;log2FoldChange.shrunk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HLA-DRA;0.062745098;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FCGR3A;0.062745098;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CATSPER1;0.062740077;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GPATCH3;0.062737643;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SLC9A2;0.062730627;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TMEM132B;0.062730627;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TGIF1;0.06271777;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PPP1R10;0.062699256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OR13C2;0.062695925;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLB1L3;0.062691131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ATP6AP2;0.062678063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TNC;0.0626703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
METTL24;0.0626703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BSDC1;0.062645012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRAMD1B;0.062642369;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WIPF1;0.062622309;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAGED2;0.062602965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MYOM3;0.062586926;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TXNDC11;0.062565172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FAM120A;0.062555853;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANKS1A;0.062555066;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VSNL1;0.0625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COX7C;0.0625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WDR55;0.0625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HILPDA;0.0625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLAU;0.0625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTF2;0.0625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TMEM92;0.0625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CD22;0.0625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OR13F1;0.0625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FGF16;0.0625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P3R3URF;0.0625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FAM236B;0.0625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FAM236C;0.0625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FAM236A;0.0625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PECR;0.0625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABCA4;0.062445031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SLCO5A1;0.062426384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PCDHB10;0.062421973;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MICAL3;0.06240639;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRRAP;0.0623858;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZSCAN25;0.062385321;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SLC19A3;0.062374245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PCDHGB3;0.062365591;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FBLN5;0.062360802;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LILRB4;0.062360802;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DLG3;0.062347188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DENND1C;0.06234414;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SCN10A;0.062340317;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UPB1;0.062337662;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOR1B;0.06231454;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NDFIP2;0.06231454;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADCY8;0.062300319;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SLC25A38;0.062295082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPRY3;0.062283737;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TPRG1L;0.062271062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOXA9;0.062271062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCDC197;0.062271062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRIM27;0.062256809;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YIPF7;0.062256809;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CRISPLD2;0.062248996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABCB10;0.062246279;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SNRPN;0.062240664;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TMED6;0.062240664;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PCDHGB2;0.06223176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CRP;0.062222222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPT2;0.062215478;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF398;0.062208398;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FGF6;0.062200957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NKAIN2;0.062200957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TMEM123;0.062200957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SERPINA9;0.062200957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSG1;0.062200957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SLC5A8;0.062193126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HAVCR1;0.062189055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MRPL11;0.062176166;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LSM14B;0.062176166;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ISG20L2;0.062146893;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VPS25;0.062146893;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADCYAP1;0.062146893;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HEY2;0.062130178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HEPH;0.062122519;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CZIB;0.062111801;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RNASE3;0.062111801;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TMEM62;0.062111801;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KIAA1191;0.062091503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SRRM4;0.062091503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DLX5;0.062068966;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MARK2;0.062068966;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FXYD3;0.062068966;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HLA-DOB;0.062043796;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLCCI1;0.062043796;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COG4;0.062025316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CD59;0.062015504;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHST4;0.062015504;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UBA52;0.062015504;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TCL1B;0.062015504;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CEP68;0.062005277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANO2;0.062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SLC5A7;0.061962134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACOXL;0.061962134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FOSB;0.061946903;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAPPA2;0.061941964;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OXA1L;0.061926606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AARS1;0.061919505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRF2;0.061904762;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUSD5;0.061904762;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIMM23;0.061904762;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SNAP47;0.061904762;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PCDHGA10;0.06189968;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SALL1;0.061886792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NGEF;0.061884669;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GALNT12;0.06185567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SCGB2B2;0.06185567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRMS1;0.06185567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HDC;0.061840121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FOXN3;0.061833689;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CREB3;0.061827957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CRLF2;0.061827957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FANCA;0.061813187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GORASP2;0.061810155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOP2;0.061804697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NME1;0.061797753;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TENT4A;0.061790668;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DNALI1;0.061776062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SARAF;0.061764706;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RNF157;0.061764706;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SERINC5;0.06175772;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SLC7A11;0.061752988;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BCL7C;0.061728395;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLSTN1;0.061728395;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPINK6;0.061728395;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HTR3D;0.061728395;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAF1;0.061728395;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PCDHB7;0.061712846;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TSNAXIP1;0.06171108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAIP;0.061702128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SLC39A7;0.061702128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POLR1C;0.061688312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRUNE1;0.061674009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NR1H3;0.061674009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GNLY;0.061643836;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PCDHB6;0.06163522;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NEUROD1;0.06162465;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STOML2;0.06162465;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GARRE1;0.06162465;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TROAP;0.061617458;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TECPR2;0.061614731;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TSPAN31;0.061611374;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KRTAP26-1;0.061611374;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TNNI3;0.061611374;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A4GNT;0.061583578;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EI24;0.061583578;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SNX17;0.061571125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SLC7A13;0.061571125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TGFBRAP1;0.06155633;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZSWIM5;0.061551433;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPATA31E1;0.061549101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PCGF1;0.061538462;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GASK1B;0.061538462;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TMEM171;0.061538462;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FXYD2;0.061538462;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MRPS11;0.061538462;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FBXW2;0.061538462;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PEX11B;0.061538462;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARFGEF3;0.061524334;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NTNG1;0.061503417;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FHIP1A;0.061479347;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TMEM174;0.06147541;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SORD;0.061452514;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FXYD5;0.061452514;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INSIG1;0.061452514;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FAM83D;0.061433447;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ST6GAL1;0.061425061;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IFNLR1;0.061420345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KLHDC4;0.061420345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COL17A1;0.06141522;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PCDHB11;0.061403509;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MMP21;0.061403509;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CD2BP2;0.061403509;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCL15;0.061403509;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACBD4;0.061403509;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEL;0.061391542;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MYOC;0.061386139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIN2;0.061383929;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FCMR;0.061381074;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAZ4;0.061381074;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NCR2;0.061371841;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANXA8L1;0.061371841;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MPEG1;0.061366806;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CKAP4;0.061359867;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITLN2;0.061349693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TMED8;0.061349693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRM3;0.06133829;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUMF1;0.061333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FANCF;0.061333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOS1;0.061324042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OR5AC2;0.061290323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAGEA1;0.061290323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EIF3C;0.061269147;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TENT5C;0.06122449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIGIT;0.06122449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADIPOQ;0.06122449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COA1;0.06122449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TMT1B;0.06122449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGF29;0.06122449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCL11;0.06122449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KLK5;0.06122449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KRTAP22-1;0.06122449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DLX6;0.06122449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMH1;0.06122449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BANF2;0.06122449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C6orf141;0.06122449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EIF3CL;0.061202186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NLGN4Y;0.06119951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GABRB3;0.061181435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADIPOR1;0.061170213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSG4;0.06116208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CBR1;0.061151079;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B4GALNT2;0.061143984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RABL2A;0.061135371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KLF5;0.061135371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RHPN2;0.061135371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RABL2B;0.061135371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGAP5;0.061135371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RPEL1;0.061135371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LURAP1L;0.061135371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CFAP46;0.061119293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IL22;0.061111111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HIPK1;0.061106524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMMECR1L;0.061093248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SLA2;0.061068702;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AFAP1L2;0.061050061;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRIB2;0.061046512;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NID2;0.061046512;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLAC1;0.061032864;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RPUSD3;0.061032864;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ELMO2;0.061026352;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STIMATE;0.061016949;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAP130;0.061010486;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HYOU1;0.061;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DDX28;0.060998152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RARRES2;0.06097561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NEDD8;0.06097561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NDUFB11;0.06097561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LY9;0.06097561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LARP6;0.06097561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RNF151;0.06097561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSH1;0.060952381;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TENT5A;0.060948081;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PCDHB15;0.060913706;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MRPS18A;0.060913706;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARL11;0.060913706;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TP53;0.060913706;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OR4D11;0.060897436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SLC22A10;0.060885609;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LIG1;0.060869565;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACTR5;0.060855263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GABRA3;0.060851927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACTA2;0.060846561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RPUSD4;0.060846561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLDB3;0.060842434;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LRRC4C;0.060842434;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF688;0.060836502;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UBE2D4;0.060810811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HLF;0.060810811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NAPA;0.060810811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CST9L;0.060810811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HTRA4;0.060796646;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OR5D16;0.060790274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NTRK2;0.060786651;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGS12;0.060773481;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSBP2;0.060773481;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RNF5;0.060773481;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SURF6;0.060773481;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HMBS;0.060773481;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BST2;0.060773481;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
XG;0.060773481;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POU3F4;0.060773481;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRIN2A;0.060750853;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GCH1;0.060747664;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ULBP2;0.060728745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RAET1L;0.060728745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DUS2;0.060728745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NXPE3;0.060714286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BARX2;0.060714286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OR8H2;0.060702875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OR8H3;0.060702875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OR6C75;0.060702875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCDC51;0.060679612;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MADD;0.060679612;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C1orf127;0.060679612;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HCRTR2;0.060674157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RAB44;0.060665362;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CSRNP2;0.060661765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRIA1;0.060639471;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
